time,date,year,month,month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-10T10:24:51.000Z,2016-11-10,2016,11,2016-11,-19.853,133.866,5,4.2,mb,,,,1.26,us,us100076lx,2017-02-02T02:21:06.040Z,41km WSW of Tennant Creek, Australia,earthquake,5,1.9,0.528,1,reviewed,aust,us
2016-11-06T09:54:31.000Z,2016-11-06,2016,11,2016-11,-19.106,127.987,10,4.8,mb,,,,1.14,us,us100075ug,2017-02-02T02:21:01.040Z,95km SSE of Halls Creek, Australia,earthquake,7.2,4.7,0.113,24,reviewed,aust,us
2016-11-03T16:25:13.000Z,2016-11-03,2016,11,2016-11,-29.627,137.098,10,4.1,mb,,,,0.3,us,us100076nj,2017-01-24T02:02:16.040Z,105km N of Roxby Downs, Australia,earthquake,7,3.1,0.212,6,reviewed,aust,us
2016-08-19T14:39:22.000Z,2016-08-19,2016,08,2016-08,-25.582,129.806,0,3.9,mb,,,,1.18,us,us10006ggk,2016-11-19T04:58:31.040Z,Northern Territory, Australia,earthquake,7,2,0.296,3,reviewed,aust,us
2016-08-18T18:27:35.010Z,2016-08-18,2016,08,2016-08,-19.6628,148.8618,10,4.3,mb,,146,2.49,0.52,us,us10006gd4,2016-11-15T02:21:53.040Z,76km ENE of Bowen, Australia,earthquake,5.5,1.9,0.217,6,reviewed,us,us
2016-08-18T05:30:34.000Z,2016-08-18,2016,08,2016-08,-19.73,148.92,2,4,ml,,,,0.34,us,us10006emu,2016-11-15T02:21:53.040Z,78km ENE of Bowen, Australia,earthquake,10.7,6.8,,,reviewed,aust,aust
2016-08-18T04:30:08.800Z,2016-08-18,2016,08,2016-08,-19.8352,148.7233,10,5.7,mww,,30,2.335,0.82,us,us10006em9,2017-10-31T12:42:21.340Z,55km ENE of Bowen, Australia,earthquake,7.1,1.8,,,reviewed,us,us
2016-08-13T15:31:12.390Z,2016-08-13,2016,08,2016-08,-23.8567,152.9265,10,4.6,mb,,115,2.255,1.07,us,us10006dl0,2016-11-15T02:21:47.040Z,124km NNE of Bundaberg, Australia,earthquake,7.8,1.9,0.119,21,reviewed,us,us
2016-08-06T21:16:33.000Z,2016-08-06,2016,08,2016-08,-25.572,129.804,0,4.2,mb,,,,1.42,us,us10006cca,2016-10-26T03:10:21.040Z,Northern Territory, Australia,earthquake,6.1,2,0.373,2,reviewed,aust,us
2016-07-16T11:44:49.000Z,2016-07-16,2016,07,2016-07,-32.501,122.436,0,4,mb,,,,1.32,us,us20006gfc,2016-09-17T01:27:47.040Z,159km NNE of Esperance, Australia,earthquake,10.2,6.2,0.164,10,reviewed,aust,us
2016-07-14T10:08:55.000Z,2016-07-14,2016,07,2016-07,-32.536,122.433,0,4,mb,,,,1.16,us,us20006g48,2016-09-08T01:50:31.040Z,155km NNE of Esperance, Australia,earthquake,9,7,0.184,8,reviewed,aust,us
2016-07-08T09:40:50.000Z,2016-07-08,2016,07,2016-07,-32.458,122.511,0,5.2,mb,,,,1.2,us,us100061v2,2016-09-08T01:50:22.040Z,166km NNE of Esperance, Australia,earthquake,7.7,3.4,0.072,64,reviewed,aust,us
2016-06-19T01:54:09.000Z,2016-06-19,2016,06,2016-06,-35.916,136.45,10,4.5,mb,,,,1.07,us,us200066gl,2016-08-27T02:15:28.040Z,110km WSW of Kingscote, Australia,earthquake,5.5,1.9,0.127,18,reviewed,aust,us
2016-06-08T02:01:09.000Z,2016-06-08,2016,06,2016-06,-32.337,122.386,0,4.2,mb,,,,1.72,us,us200062pn,2016-08-18T00:36:34.040Z,173km SSE of Stoneville, Australia,earthquake,8.7,1.9,0.158,11,reviewed,aust,us
2016-06-01T13:00:47.000Z,2016-06-01,2016,06,2016-06,-32.457,122.481,0,3.9,mb,,,,1.46,us,us200062k6,2016-08-10T22:30:31.040Z,165km NNE of Esperance, Australia,earthquake,10.1,2,0.194,7,reviewed,aust,us
2016-05-28T16:38:44.000Z,2016-05-28,2016,05,2016-05,-32.285,122.396,15,4.9,mb,,,,1.5,us,us20005yv7,2016-08-10T22:30:25.040Z,168km SSE of Stoneville, Australia,earthquake,5,4.9,0.108,27,reviewed,aust,us
2016-05-28T15:30:27.000Z,2016-05-28,2016,05,2016-05,-32.285,122.396,6,4.8,mb,,,,1.35,us,us20005yus,2016-08-10T22:30:25.040Z,168km SSE of Stoneville, Australia,earthquake,8.1,5,0.111,25,reviewed,aust,us
2016-05-21T11:08:31.000Z,2016-05-21,2016,05,2016-05,-25.512,129.894,0,4.1,mb,,,,1.95,us,us20005yh7,2016-08-03T22:33:40.040Z,Northern Territory, Australia,earthquake,6.1,1.9,0.185,8,reviewed,aust,us
